"Hash","string"
"40e5e459","{0}! Are you okay?!"
"3de5df80","?!"
"3ee5e173","Get back, {0}! We can take it from here!"
"43e5e912","You just need to give us commands as usual!"
"44e5ea85","?!?!"
"41e5e5cc","What is it, {0}?!"
"42e5e7bf","You've always given us commands in battle!"
"47e5ef5e","?!?!?!"
"48e5f131","You seem really confused all of a sudden!"
"45e82aef","It can't be helped. We'll back you up."
"44e8297c","You've gotta be kidding me. You're not supposed to forget
us--your partners!"
"f82dae36","Ugh... So strong..."
"f72dac43","..."
"f62daad0","No good?"
"fd2db5d5","No... I have to keep going. I've finally met
{0}... And this is where I'm a goner?!"
"fc2db462","I see... We may be defeated here... But we won't let that
happen... to {0}!"
"fb2db28f","!!!"
"fa2db11c","What is this... The light of a Bond?"
"12dbc01","I can feel the power... The Bond is transforming into power!"
"2dbaae","Let's go! As long as {0}'s with us..."
"f32b67a0","We can still fight!"
"3491708c","Urgh... {0}..."
"37917545","This isn't the time to be sleeping! We must defend our
partner!"
"369173d2","Argh!"
"31916c33","{0}... You're all right..."
"30916a40","Yes, I'm okay.
What about you?"
"33916f19","Don't worry about us... We're partners..."
"32916da6","Umm... Just one thing..."
"aee268e7","Hrm?!"
"afe26a5a","The Machinedramon should have been caught in the
interdimensional trap, but..."
"b0e26bcd","Hmmm? A human? A Machinedramon disappears and a human
appears... Fascinating..."
"a9e260c8","Hmph. You defeated that Machinedramon... That must be what
destabilized the other dimension."
"aae262bb","Still, you shouldn't have been able to defeat the
Machinedramon..."
"abe2642e","Hmph. These must be your partners."
"ace26581","And two of them, no less. That's an odd relationship."
"a5e25a9c","They did everything they could to defend you..."
"a6e25c0f","..."
"b3e4af7d","Heh-heh-heh! No need to look so depressed."
"bdf4b784","This is a tremendous success!"
"c0f4bc5d","Why don't you give your reborn partners names?"
"bff4baea","Then their rebirths will be complete."
"baf4b2cb","Just remember: As their Tamer, you have a duty to care for
them."
"b9f4b158","Hmm... You don't seem to understand what's what."
"bcf4b611","I am just as in the dark as you."
"bbf4b4be","I wonder what is going on... Why don't we go to my house,
and you can tell me your story?"
"b6f4ac9f","Looks like Tokomon is still unconscious. We can treat him
there."
"5188cfa","So you were sucked in by the Digivice, and unluckily fell
into the dimension I created..."
"4188b07","And then your partners in the Digivice defeated
Machinedramon for me."
"3188994","I see. Coincidence has been our friend today. I owe you my
thanks, {0}."
"2188821","Actually... This world is at a crisis point. As you can see,
the city we are in, Floatia, is in disarray."
"118864e","It's because of the Machinedramon."
"1884db","It suddenly started attacking us for no reason, and did a
lot of damage to the city."
"ff188368","The power of an Ultimate is overwhelming... It appeared from
nowhere, caused massive damage, and then disappeared."
"fe1881f5","We were at our wits' end..."
"fd188002","I mobilized my knowledge and technology to build a trap, in
order to capture the Machinedramon."
"164664","I thought that when it appeared, I could transport it to
another dimension and imprison it."
"11647d7","The plan worked. In fact, the plan went even better than
expected."
"216494a","Thanks to you, we were able to defeat that Machinedramon."
"3164b3d","But that doesn't mean the danger has entirely passed..."
"fc164038","?"
"fd1641ab","The phenomenon of a Machinedramon getting violent and then
disappearing has occurred several times, in many areas."
"fe16431e","It would be hard to believe that it is just one lone Ultimate
Digimon doing all this damage."
"ff1644f1","We were able to survive this time because of your valiant
efforts."
"f816398c","Unfortunately, we don't know from where and how the
Machinedramon are appearing."
"f9163b7f","It seems hopeless, but if we just had a clue...maybe we
could do something..."
"721db5bf","If only we had a clue..."
"711db3cc","?"
"741db885","What?!"
"731db712","This Tokomon was the Machinedramon?! It can't be..."
"6e1daf73","No...but I am sensing a strange data wave coming from this
Tokomon, albeit weakly..."
"6d1dad80","Hmm... What should we make of this? A Tokomon living in this
city Digivolved into a Machinedramon?"
"701db259","I've never heard of such a Digivolution... Wait. There's
something here in the cloud memory..."
"6f1db0e6","But why did this Tokomon Digivolve into Machinedramon?
Or at least an altered form of Machinedramon?"
"7a1dc217","Hmmm... We won't be able to figure it out with just this
small amount of information from this Tokomon."
"791dc0a4","But it looks like we finally have a chance to actually do
something about this threat."
"6c1b6db6","We need to act!"
"6d1b6f29","I have something to ask of you, {0}."
"6a1b6a50","We want to return you back to the world you came from as
soon as possible."
"6b1b6bc3","But we can't leave this city in the state it's in."
"701b73e2","To get the city back to the way it was, will you help bring
back the residents that fled from the Machinedramon attacks?"
"711b7555","Okay. I'll help.
Why don't you do it yourself?
It's too scary!"
"6e1b709c","I'm glad you said that!"
"6f1b720f","I would do it myself, but there are too many children in the
city. I can't leave them alone."
"741b7a2e","You have to be strong. The reason you fell into this world
must have something to do with this transformation."
"751b7b81","So go out with your partners and look for the residents
who fled the city."
"6e0ea489","I will look into this small amount of strange data we have
collected from this Tokomon."
"6d0ea316","Maybe I will be able to unravel the mystery of this altered
form..."
"6c0ea1a3","If we can detect abnormal information, we may be able to
avoid further damage here."
"6b0ea030","That's why I first intend to make a detection device."
"720eab35","If I have any news, I will send you a DigiMail. So please
check your Digivice."
"710ea942","So then, {0}... I'm counting on you."
"a7fd6ff5","How is the search for the residents going?"
"a4fd6b3c","I haven't been able to detect any abnormality in the data in
the city, so please go out and look for residents."
"adab788","Oh, {0}! Great timing!"
"ddabc41","Apparently there are other humans apart from yourself in the
Digital World!"
"cdabaee","!!!"
"fdabfa7","If they've suddenly been thrown into this world in the same
way you were, they're probably in trouble."
"edabe34","Considering the strange incidents with the Machinedramon,
you should also go check them out."
"11dac28d","If we can exchange information, maybe we can find out why
humans have been pulled into the Digital World."
