"Hash","string"
"637c5052","What is this place?"
"627c4eff","It's pitch black! I can't see a thing!"
"617c4d0c","I'm scared... {0}! Hold my hand!"
"607c4b99","..."
"5f7c4a26","Hey! That's MY hand, {0}!"
"5e7c48b3","No fair, Himari!"
"5d7c46c0","Goodness, what noise."
"6c7c5ebd","Who're you?!"
"6b7c5cca","Pleased to meet you."
"5e7a09dc","My name is Mirei Mikagura."
"5f7a0b4f","A human?! You saved us, didn't you! So, um..."
"607a0d22","We don't have time to chat right now. Let me just tell you
the most important parts."
"617a0e95","What attacked you just now was the entity known as the
Enforcer."
"5a7a0390","What? That monster was the Enforcer?!"
"5b7a0503","It's under the influence of the ""Brain Hack Program."""
"5c7a06f6","Brain Hack...? Is that what it sounds like?"
"5d7a0869","Yes. The BH Program is a virus that illegally hacks into
a Digimon's ""brain"", so to speak, and alters its behavior."
"667a16b4","Those infected by the BH Program exhibit a few typical
symptoms:"
"677a1827","Memory damage, disturbed consciousness, collapse of the ego,
sudden violent tendencies..."
"f081abb7","Now I see. My partner must have been infected, too..."
"ef81a9c4","So? Who's responsible for this? Who'd write a program that
could hack into the world's self-purification function?"
"f281ae9d","The only one who can determine that is {0}.
You all came from the real world, so..."
"f181ad2a","Time's up. Tell this world's Digimon about what we've said.
It may be some time before I can speak to you again."
"ec81a50b","Till next time, then."
"eb81a398","Huh. So, I guess...she helped us? I was positive we were
done for."
"ee81a851","Her name was Mirei, right? What do you think her deal is?
She seems to know a whole lot, but...think can we trust her?"
"ed81a6fe","I couldn't say, but right now, we've got no other leads.
We've got to warn the Digimon about the BH Program."
"e8819edf","All right, I'm going into town too. I haven't said hello to
this world's Jijimon yet."
"e7819d6c","Hey, wait! I don't trust you yet either! Wait up!"
"6a7e99ce","Whoa, Mameo's faaast!"
"68d77edf","We heard everything from Mr. Mameo, {0}."
"69d780b2","Including my self-introduction, and the explanation of why
I'm innocent."
"6ad78225","So, {0}, now that you're here, let's get to the
topic at hand."
"63d77720","Hmm..."
"64d77893","If this Mirei is to be believed, the BH Program would seem
to be the root of our troubles."
"65d77a06","Those Digimon being altered into Machinedramon, and..."
"66d77bf9","Omegamon Zwart D (Defeat)...the Enforcer. To think that even
he's been infected..."
"6fd789c4","Omegamon Zwart D, huh? Wonder if he'll end up turning into a
Machinedramon, too."
"70d78bb7","Any thoughts as to how the user behind the BH Program could
have disseminated it?"
"6dd9c555","...Not a one."
"6cd9c3e2","Nothing?!"
"6bd9c20f","Still, if someone made this virus, there ought to be a way
of making an antivirus program to counter it."
"6ad9c09c","Of course, discovering the hacker behind the BH Program
would be a great step forward as well."
"69d9bf29","Guess that's gonna be our job, right, {0}?"
"68d9bdb6","This Mirei lady said you'd meet her again, didn't she? I've
got a few things I'd like to ask her."
"67d9bbc3","We'll speed up our plan to develop an antivirus program. Mr.
Mameo, might I ask you to tell us more about Machinedramon?"
"66d9ba50","Mm, all right. That's easy enough."
