"seq","Hash","string"
"46","625c65c0","Piddomon A"
"47","625c65c1","Piddomon B"
"48","625c65c6","Piddomon C"
"49","625c65c7","Hyogamon A"
"50","625c65c4","Hyogamon B"
"51","869529ec","Numelfos the Light-Speed"
"52","869529ef","Moraigel the Surging"
"53","869529ee","Puplang the Stone"
"54","869529e9","Corellus the Venomous"
"55","869529e8","Skaffelt the Thunderous"
"56","869529eb","Modorius the Indulgent"
"57","869529ea","Geryl Panzer the Silent"
"58","869529e5","Kaoriel the Frozen"
"59","869529e4","Diarius the Ballistic"
"199","d064","OmegaShoutmon"
"278","f015","SaintGargomon"
"297","f034","LordKnightmon"
"331","f068","Susanomon"
"339","g006","Susanomon"
"411","f074","EmperorGreymon"
"416","cb95b49e","A newborn Digimon.
Dark peach fuzz bristles across the
surface of its slimy body."
"422","b9a968c","A very happy Digimon with one horn.
Unlike other slime Digimon, Zerimon's
horn is surprisingly rigid."
"424","b80ff66","An unidentified Digimon that appeared on
a computer network. It's an amalgam of
humanity's destructive instincts."
"425","7829919c","The smallest Digimon there is. It's very,
very curious and is loved by everyone."
"427","382f3d02","A seed-type Digimon, covered with fine
hairs. It floats through the air gently,
like a dandelion seed."
"431","2c1f4ddc","Small like Punimon, but with a hard
tentacle. It's a more feral Digivolution
than Punimon and is covered in bushy hair."
"432","2c1d0f45","Rare for an in-training Digimon, it has
hands and feet. It's cute but has a mouth
full of sharp teeth."
"435","2c14c038","A bulb Digimon with plant-like growths
sprouting from its head. Yuramon began
to Digivolve after falling to the ground."
"437","ec0fde0a","A Digimon that grew from Zerimon. Bright
and cheerful like Zerimon. It also has a
rigid horn like Zerimon."
"438","2c0e04f3","A Digimon that grew from Conomon. Like
Conomon, it has three horns and a mature
personality."
"440","bf8ebfcc","A little Digimon, akin to a cat. It's always
fickle, very curious, and flighty, but
also a little on the lonely side."
"441","bf90fe5b","Looking like a baby plesiosaur, this is
a funny little Digimon. It moves strangely,
like a seahorse."
"447","93b21ce9","A mammal Digimon with big ears. Has
hidden holy powers and is said to bear
an ancient genome."
"448","93b45b40","A primitive insectoid Digimon with a
hard shell and undeveloped attacks. It
has one foreleg and four back claws."
"450","d3b93d76","A vegetation Digimon with tropical flowers
on its head. The odor of the flowers can
be changed to drive enemies away."
"451","d3cf0305","A sacred Digimon baby with droopy ears.
Still young, so it could be either good or
evil. Looks like a real animal."
"452","d3d1419c","A new, recently-discovered Digimon. A
remnant from the early days. An imp with a
powerful sense of justice."
"454","18d56c3","A shy larva Digimon that's said to be
the descendant of ancient stock.
Digivolves into a powerful Adult."
"455","418b7cb4","This little dinosaur-like Digimon is
still a Child, but it has lots of
potential as fighting stock."
"456","188d91d","A mysterious Digimon with one horn.
It's utterly adorable, but shines with an
unsuspected power when fighting."
"457","1869a86","A very rare twin Digimon Child. Compared
to the rougher Terriermon, this one is more
of a lonely baby."
"458","41832e6f","A beast humanoid Digimon like a golden
fox. Taller and thinner than other
Childs, it attacks with great speed."
"466","6e24a018","A variety of machine Digimon with a gear
shape. Myriad gears lie within it as well,
and they are always turning."
"467","ae31d14b","An ore Digimon with powerful defenses
that seeks ore data from the field. A
bright, happy, rascal."
"468","ae340fa2","A little demon Digimon who loves trouble
but lacks bravery. Smarter than most
Childs. Maybe a little too smart?"
"486","e07728de","A Child Digimon that Digivolved from
Tsumemon. Has a sunny disposition.
Thinks that breaking things is fun."
"491","f587f431","A dinosaur Digimon covered with a hardened
shell. Its sharp claws and big horn make
for fierce attacks."
"492","f58eb07e","A beast Digimon akin to a wolf. With a
lean body and mad skills, its agility
makes it fearsome to other Digimon."
"494","b5945bec","An angel Digimon wearing heavenly white
garments and has six shining wings. Cool-
headed in the face of evil."
"495","f590eed5","A special insectoid Digimon with good
attacks and defenses. Its metallic head
allows for extra-strong defenses."
"498","f576ab50","A very curious tease. Small in stature
but a valuable sacred Digimon, with
power you'd never suspect."
"499","b57407b9","An Adult mythical dragon Digimon that
Digivolved with Veemon's powers. It's very
just, and never heedless in action."
"501","47b78e0a","A very rare insectoid Digimon with a
humanoid form. Its hard shell and rapid
moves combine with its cool intellect."
"502","87b5b4f3","A demon dragon type Digimon known as the ""Crimson Dragon.""
Has a wild and violent nature
coupled with a roar powerful enough to shake the earth."
"506","47a64529","This beast Digimon is a bigger version
of Gaomon. Its glove-protected claws
that have fully grown."
"508","47c8d7eb","A high-level wizard Digimon from the
dimension of the Digital World. A bit
impish, but has a shy side as well."
"509","47cb1642","A fallen angel Digimon wrapped in dark
robes. Once it was a shining Angemon,
but it fell into darkness."
"517","1b20a93d","A carnivorous vegetation Digimon with
long ivy and a gaping mouth. Its sweet
aroma draws in small Digimon."
"523","6e8d7796","An insectoid Digimon with giant scissors
atop its head. Has a hard shell. Once
it has you, you won't escape."
"527","ae986a6a","A vegetation Digimon akin to a dying
tree. It pretends to be just a tree to
attack passing Digimon. Hates fire."
"531","a8d29e2d","A Digimon enrobed in sparkling white
robes and has two wings. As with
Angemon, it's utterly good, and destroys evil."
"532","a8daed6a","A subspecies of Kyubimon with silver fur.
Not as bright, but faster than Kyubimon."
"548","fc524967","A chrysalis-like Adult Digimon. The
Child Keramon became pupa-like to
Digivolve into a stronger Digimon."
"550","8eb861b2","A mollusk Digimon like Numemon. Lacks
attack power, but is brutal, and will
attack anyone. This leads to its defeat."
"551","ceb6879b","A Digimon shaped like a sparkly golden poop.
Hated by other Digimon, but has great
intelligence and attack power."
"552","ceb4490c","A Digimon shaped like a platinum poop.
It has ore data from rare metals, but
has the same skills as Sukamon."
"553","8eb1a675","Digivolved form of Gumdramon. Makes
the most of its flexibility with its
special rubber battle armor."
"560","7ec9c1fc","A bird humanoid Digimon with wings that
let it roam the skies. Has massive
claws. Guardian of the earth and wind."
"562","bec5a94e","A Digivolved form of Kabuterimon, found
in the tropics. Big for an insectoid
Digimon and excels in fighting."
"566","bebb1baa","A dragon humanoid Digimon Digivolved
from ExVeemon and Stingmon. It combines
dragon power with a tough insect shell."
"568","eb12ece9","A Perfect android Digimon named Giant
Growlmon. Wears a restraint on its jaw
to keep it under control."
"570","2b17ce1f","One of the Deva Digimon. It is a
Perfect Digimon with a rabbit-like
form. Has a very kind heart."
"576","eb267421","A valuable female fallen angel Digimon
with mighty, pure dark powers. Almost no
tamer can deal with her."
"583","a46f42eb","This undead Digimon is nothing but bones.
It remains animated due to its
remaining fighting instincts."
"585","a44cb029","An artificially created Digimon. Among
the Perfect dragon android Digimon,
it's said to have the most awesome power."
"586","a44eee80","A beast humanoid Digimon with a strong
sense of justice. Digivolved from Leomon
while constantly training in the cold."
"587","52351b7e","A beast humanoid Digimon that takes
data from various fighting games and
uses their secrets. Crushes its enemies."
"590","522e5f31","A fire Digimon that burns with an even
greater intensity than an Adult
Meramon."
