"seq","Hash","string"
"5","ea5c049c","That's right--Project Reincarnation.
Taomon's brainchild."
"12","7f591d94","Purge the world and let it be reborn?
Is that even possible?"
"13","80591f07","It wouldn't be easy, but with Omegamon Zwart D in our hands,
it would be theoretically possible."
"19","7a5915f5","At worst, two merging dissonant worlds could interfere with
one another so much as to lead both of them to ruin."
"25","7e56dd4a","I am, but how else are we supposed to save the world?
Scared or not, we've got no choice."
"38","6d548410","The other core of Project Reincarnation is the town of
Floatia. Keep populating it until the plan is ready to go."
"42","8165ec8d","We'll let you know when we hear from Mirei. {0},
you help gather residents too."
"44","2d253ea4","You OK? Nothing too painful happened?"
"47","2c253d31","Some fascinating things, indeed. The one that caught me by
surprise at first was... the makeup of Luche's body."
"48","29253878","It highly resembles that of a Digimon. They have a
similarity of--ready for this?--98.1%."
"55","96282246","Next, and this will be difficult for you too, Luche, but...
That stuffed animal you were holding?"
"57","982825ac","I've confirmed that most of what we've spoken about aloud
was transmitted over the network to... somewhere."
"59","9a2828f2","Luche... was a carrier for the BH Program."
"62","2320b198","Ahh. So we looked over Luche herself, but the stuffed
animal was the blind spot."
"66","2720b7c4","That's the problem. Luche is an asymptomatic carrier, so
considering that she lost her memories--"
"68","2920bb2a","Yes. Which makes the one using her--"
"71","1c20a693","I b-betrayed everyone... I got you sick!
Does that make me... bad?"
"73","2822f82e","That's right.
You couldn't have known, Luche."
"78","2b22fce7","Payback?"
"87","ac2f00ed","So I'm... useful?"
"95","2e320c2a","Looks like it. Might as well start now! C'mon, {0} and Kouta, let's go!"
"98","3679adb8","Thanks to all of your hard work, Floatia is now
capable of launching Project Reincarnation."
"99","3d79b8bd","The town is now effectively a massive computer processor.
If we insert Omegamon Zwart D here as the core..."
"100","3c79b6ca","His purification power, combined with the antivirus, should
bring about a total data purge."
"115","a57ed943","Wha-- The Singular Zone?! Impossible!"
"119","a97edf8f","We found a vast, essentially infinite blank space in the area
that was picking up Luche's signal."
"120","a87ede1c","In there, we observed multitudes of formless blocks of data,
plus the data of a number of Digimon... and one human."
"122","aa7ee162","An infinite space? Sounds like the perfect place to move
the data to."
"123","ad7ee63b","Exactly. No need to move it piece by piece--we could migrate
all the data there together, at once."
"139","ad836309","There might be some important data there that we'd need
to have reincarnated."
"141","ab836023","Taomon and Luche and I will go beneath the town and open the
gate to the Singular Zone."
"147","ad812492","And save all our worlds!"
"153","84982eb4","--ear me? Can you hear me, {0}?"
