"Hash","string"
"fb8e17f7","Hmm... Titamon's been infected with the BH Program update..."
"fc8e196a","Not only that, but the transmission center is offline.
Completing the antivirus program was a waste of time..."
"fd8e1add","I know. Just when we confirmed that the antivirus program
works against the BH Program update..."
"f68e0fd8","It's too bad that we've lost the means to transmit it.
It'll take some time to purge that BH."
"f78e114b","More bad news. The program's been enhanced. It's much more
infectious now."
"f88e133e","It's not just Digimon within the Cable Complex getting it.
The BH is even seeping into the soil..."
"f98e1491","What's worse, it's expanding without the use of a network.
It won't be long now..."
"f28e09ac","It'll erode this entire world away..."
"f38e0b1f","We're lost without a transmission center.
Are we supposed to just let it keep growing?"
"905e0d","Well, viruses have the ability to overwrite their hosts'
programs, and they can replicate themselves as well..."
"ff905c9a","We're protected here by Taomon's field.
We don't need to worry about erosion for the moment..."
"fe905b27","That won't last. It takes too much to keep protecting a
place like this..."
"fd9059b4","True. There's not much time left."
"fc9057c1","If we're attacked by the enhanced BH Program, won't having
the antivirus program help us?"
"fb90566e","We were able to remove the previous version of the BH
Program from the Digimon here."
"fa9054fb","It was effective in both {0}'s and Himari's
partners, but that could be because they were special."
"f9905308","We must be extremely sure that it works for all Digimon."
"f8905195","I see... but that might be very difficult."
"f7905022","It's pointless to cut the network cables if even the ground
itself is infected..."
"e69273d6","Wait a second... Eureka!"
"e7927549","We just need to float the city! There'll be nothing to worry
about when we're zooming through the sky!"
"e49270f0","How do we float something this big?
Get the Digimon to lift it?"
"e5927263","That's probably not realistic."
"ea927a02","No... no, no, no! I won't let you say that!
Right, Taomon?"
"eb927bf5","To think that your crazy idea could turn our desperation
into hope... I thought you were just joking!"
"e892773c","What's that supposed to mean?"
"e99278af","There were plans to equip the city with extra features when
it was built, including a means to float it."
"ee92804e","Unfortunately, there weren't enough resources at the time,
and the logical barriers were too hard to overcome."
"ef928221","But now we have Taomon and Datamon, and we can call on the
intellect of both Mameo and Mirei!"
"6c95855f","And if {0} helps, making my idea a reality
won't be so impossible after all!"
"6b9583ec","Flying through the sky?"
"6e9588a5","Yeah! With a little help from {0} and friends!"
"6d958732","{0}! I want to see the city fly!"
"68957f13","I'll do my best, for everyone's sake!
It's for Luche, so of course I have to do it!
What if I just throw you up in the air?"
"67957da0","Really?! Excellent!"
"6a958279","Hehe... I love you, {0}!"
"69958086","What the...
I want to see the whole city fly, not just me!"
"74959237","You're the only ones who can do this, since you don't have
to worry about the BH thanks to the antivirus program!"
"73959044","It's in your hands."
"dfa7ca8a","You made it, {0}!
At last, we're ready!"
"dea7c917","A flying city!"
"dda7c7a4","Indeed! There's just one last step!"
"dca7c631","Really? There's something left to do?"
"dba7c45e","We get both energy and network functionality for Floatia via
a single cable."
"daa7c2eb","Someone has to manually cut that cable so the city can float
free."
"d9a7c178","That's all? Then let's get right to it.
We have to hurry, for Taomon's sake!"
"d8a7bf85","..."
"d7a7be12","He looks like he really needs to use the bathroom. See, he's
breaking out in a cold sweat. He can't take much more."
"daa58474","Whoever cuts the cable will need to leave the city and be
ready to fight off any enemies that might attack."
"dba585e7","Which means... it's a job for the strongest among us, right?"
"dca5875a","It's up to me, then?
It's up to Mameo!
It's up to Luche!"
"87b1319b","It's up to me, then?
It's up to Mameo!
It's up to Luche!"
"dda588cd","Well, yeah..."
"d6a57dc8","Don't be mean.
You know there's no way I could do that."
"d7a57fbb","Knock it off, {0}.
You know who would be perfect, right?"
"d8a5812e","I'm the strongest? I guess you're right.
But I really want to be here when the city takes off."
"d9a58281","Enough with the jokes.
It goes without saying who would be perfect for this."
"d2a5779c","Yup. It's down to you, {0}."
"d3a5790f","Will you do it, {0}?"
"4cacf34f","Taomon put a portal gate outside the city. Once the cable is
cut, you can return via that gate."
"4bacf1dc","The gate is camouflaged as a telephone box to keep the
Digimon outside from coming in. Be careful."
"99de8c29","I expect there'll be a big shockwave when we take off.
Let your partner cut the cable while you lay low."
"96de8750","Let's get started then."
"97de88c3","Hang on!"
"9cde90e2","?!"
